класс,Вопрос,Ответ,bloom_id,answerability_score,leakage_score,accuracy_score,answerability_verdict,hint_verdict,fact_verdict,answerability_issue_type,hint_issue_type,fact_error_type,Domain
7 класс,Что такое магнитное поле?,"Магнитное поле — это поле, создаваемое электрическим током и проявляющееся в его магнитном действии.",3,4.0,10.0,3.0,Perfect,PASS,Mostly Correct,,OK,,physics
8 класс,"Объём металлической болванки увеличился на 0,05 см³ при нагревании на 50 °C. Выразите это изменение объёма в виде зависимости от температуры, используя обозначение V для объёма и t для температуры.","Изменение объёма при тепловом расширении описывается линейной зависимостью ΔV = 0.001·Δt, где Δt — изменение температуры.",5,3.0,30.0,1.0,Good,REVIEW,Major Misconception,Minor Issues / Implicit Context,LEADING HINT,Logical Fallacy,physics
9 класс,"Вы поместили лист бумаги на стол и сдвинули его в сторону, но он вернулся в исходное положение. Что могло вызвать это явление?","Явление вызвано инерцией тела согласно первому закону Ньютона, если на лист не действовали силы, возвращающие его в исходное положение.",15,2.0,30.0,3.0,Ambiguous,REVIEW,Mostly Correct,Missing Data,LEADING HINT,Terminological Error,physics
11 класс,"Как можно сравнить линии магнитной индукции с линиями тока в воде, протекающей через трубопровод, и что каждая из этих линий показывает в своём соответствие?","Линии магнитной индукции и линии тока в воде обозначают направление поля или потока, а их плотность указывает на его интенсивность. Линии магнитной индукции замкнуты и описывают поле, создаваемое токами, тогда как линии тока в воде показывают путь движения жидкости, ограниченный границами трубопровода.",13,3.0,15.0,2.0,Good,PASS,Mixed,Implicit Context,OK,Terminological Error,physics
10 класс,"Как можно изменить систему из точечных зарядов, чтобы увеличить силу их взаимодействия?","Увеличить силу взаимодействия точечных зарядов можно, увеличив их величину или уменьшив расстояние между ними, согласно закону Кулона.",16,3.0,30.0,4.0,Good,REVIEW,Perfect,Implicit Context,LEADING HINT,,physics
11 класс,"Вы заменили предохранитель в электрической цепи, но прибор перестал работать. Что могло произойти?","Возможно, произошло короткое замыкание или повреждение внутренних компонентов прибора, которое не исключено заменой предохранителя.",15,2.0,30.0,2.0,Ambiguous,REVIEW,Mixed,Missing Data,LEADING HINT,Logical Fallacy,physics
9 класс,Тело движется с постоянным ускорением 3 м/с² по прямой линии. Начальная скорость тела равна 5 м/с. Запишите уравнение зависимости скорости от времени для этого движения.,"Уравнение зависимости скорости от времени: $ v = 5 + 3t $, где $ v $ — скорость тела при равноускоренном прямолинейном движении.",5,4.0,0.0,,Perfect,PASS,,,OK,,physics
7 класс,"Световые явления — это физические процессы, связанные с излучением, распространением и взаимодействием света в различных средах. Как отражение относится к зеркалу, так и преломление относится к _______.","Преломление относится к **линзе**, так как, как отражение происходит на зеркале, преломление света осуществляется при его прохождении через линзу.",11,3.0,30.0,1.0,Good,REVIEW,False,Minor Issues / Implicit Context,LEADING HINT,Logical Fallacy,physics
8 класс,"Объясните, как объём газа можно сравнить с объёмом жидкости, учитывая, что для газа объём зависит от давления и температуры, а для жидкости — практически не зависит от этих условий.","Объём газа зависит от давления и температуры, что описывается законами, такими как закон Бойля-Мариотта, в то время как объём жидкости практически не изменяется при тех же условиях, что связано с её малой сжимаемостью.",13,3.0,15.0,3.0,Good,PASS,Mostly Correct,Implicit Context,OK,Minor Nitpick,physics
9 класс,"Определите, какие из перечисленных величин являются векторными: скорость, путь, масса, сила, температура.","Векторными величинами являются сила, так как она имеет направление, а остальные — скалярные.",8,4.0,10.0,2.0,Perfect,PASS,Mixed,,OK,Logical Fallacy,physics
10 класс,"Приведите пример механического движения и объясните, как оно относится к кинематике согласно определению.","Пример механического движения — движение ракеты. Оно относится к кинематике, так как описывается с помощью параметров, таких как скорость, ускорение и траектория, без анализа причин, вызывающих это движение.",6,3.0,10.0,3.0,Good,PASS,Mostly Correct,Implicit Context,OK,Terminological Error,physics
11 класс,"Приведите пример объекта, на который действует магнитное поле, и объясните, почему на него действует магнитное поле.","Примером объекта, на который действует магнитное поле, является **движение заряженной частицы в однородном магнитном поле**. На неё действует **сила Лоренца**, зависящая от скорости частицы, её заряда и **вектора магнитной индукции**, что вызывает криволинейное движение (например, циркуляцию в магнитном поле).",6,3.0,10.0,4.0,Good,PASS,Perfect,Minor Issues / Implicit Context,OK,,physics
7 класс,"Движение тела, при котором его скорость не меняется со временем, называется неравномерным. Верно ли это утверждение?","Утверждение неверно. Движение тела с постоянной скоростью называется равномерным, а неравномерным считается движение, при котором скорость изменяется со временем.",1,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,physics
8 класс,"Графен — это двумерный материал, состоящий из атомов углерода, расположенных в виде плоской решётки в форме шестиугольников. Заполните пропуск: Графен состоит из атомов ___ , образующих плоскую шестиугольную решётку.","Графен состоит из атомов **углерода**, образующих плоскую шестиугольную решётку.",4,4.0,85.0,4.0,Perfect,FAIL,Perfect,,REVEALING_EXAMPLE,,physics
7 класс,"При измерении скорости звука в воздухе ученик получил разницу во времени прибытия звука до двух микрофонов, установленных на расстоянии 170 м друг от друга. Определите, каким образом можно вычислить скорость звука, используя этот результат, и выполните вычисления, если разница во времени составила 0,5 с.","Скорость звука вычисляется как отношение расстояния между микрофонами к разнице во времени: $ v = \frac{170\ \text{м}}{0,5\ \text{с}} = 340\ \text{м/с} $. Результат: $ 340\ \text{м/с} $.",19,4.0,75.0,3.0,Perfect,FAIL,Mostly Correct,,REVEALING_EXAMPLE,,physics
7 класс,"Тепловые явления — это физические процессы, связанные с изменением внутренней энергии тел. Назовите один из способов изменения внутренней энергии тела, не связанный с совершением работы.",Теплообмен с нагретым металлическим цилиндром.,4,4.0,30.0,2.0,Perfect,REVIEW,Mixed,,LEADING HINT,,physics
9 класс,"Как можно изменить систему координат, чтобы проекции вектора на оси изменились, но его длина осталась неизменной?","Измените систему отсчёта, повернув оси координат, что изменит проекции вектора на новые оси, но его длина останется неизменной, так как поворот не влияет на модуль вектора.",16,3.0,10.0,4.0,Good,PASS,Perfect,Implicit Context,OK,,physics
10 класс,"Почему меняется положение автомобиля относительно деревьев на дороге, если он двигается?","Положение автомобиля относительно деревьев меняется из-за механического движения автомобиля, при котором его координаты изменяются во времени относительно неподвижных объектов (деревьев) на дороге. Это связано с относительностью механического движения.",14,3.0,10.0,3.0,Good,PASS,Mostly Correct,Implicit Context,OK,Terminological Error,physics
11 класс,"Почему на движущийся электрический заряд в магнитном поле действует сила, если вектор магнитной индукции характеризует это поле?","На движущийся электрический заряд в магнитном поле действует сила Лоренца, которая зависит от скорости заряда и вектора магнитной индукции $ \mathbf{B} $, определяющего поле. Эта сила возникает из-за взаимодействия движущегося заряда с магнитным полем, согласно закону $ \mathbf{F} = q(\mathbf{v} \times \mathbf{B}) $, где $ q $ — заряд, $ \mathbf{v} $ — его скорость.",14,4.0,10.0,,Perfect,PASS,,,OK,,physics
7 класс,Какие два основных аспекта включает в себя понятие «строение вещества»?,Строение вещества включает в себя атомно-молекулярное строение и агрегатные состояния вещества.,9,3.0,0.0,3.0,Good,PASS,Mostly Correct,Implicit Context,OK,Terminological Error,physics
8 класс,"Выберите явление, которое не относится к свойствам газов: способность занимать весь предоставленный объем, высокая сжимаемость, зависимость объема от температуры и давления, способность сохранять форму.","Свойство сохранять форму не относится к свойствам газов, так как газы не имеют фиксированной формы и полностью заполняют объем сосуда.",12,4.0,75.0,3.0,Perfect,FAIL,Mostly Correct,,MULTICHOICE_ELIMINATION,Minor Nitpick,physics
9 класс,"Приведите пример физического явления, в котором можно определить мгновенную скорость тела, и объясните, как это связано с изменением радиус-вектора.","Пример — движение тела, брошенного под углом к горизонту: мгновенная скорость определяется как производная радиус-вектора материальной точки по времени, отражающая изменение её положения в пространстве.",6,3.0,10.0,4.0,Good,PASS,Perfect,Implicit Context,OK,,physics
10 класс,"Идеальная жидкость не имеет вязкости и не подвержена внутреннему трению. Запишите уравнение, описывающее закон сохранения импульса для идеальной жидкости, используя обозначения, принятые в уравнениях Эйлера.","Уравнение закона сохранения импульса для идеальной жидкости, согласно уравнениям Эйлера, записывается как:  
$$ \rho \left( \frac{\partial \mathbf{v}}{\partial t} + (\mathbf{v} \cdot \nabla) \mathbf{v} \right) = -\nabla p + \rho \mathbf{f}, $$  
где $\rho$ — плотность жидкости, $\mathbf{v}$ — скорость, $p$ — давление, $\mathbf{f}$ — объёмная сила (например, сила тяжести).",5,4.0,10.0,,Perfect,PASS,,,OK,,physics
11 класс,"Круговой виток — это пространственное расположение одной из форм спирального витка, при котором ось вращения проходит через центр масс тела и совпадает с осью симметрии. Заполните пропуск: в круговом витке ось вращения проходит через ___ тела.",в круговом витке ось вращения проходит через **центр масс** тела.,4,4.0,85.0,3.0,Perfect,FAIL,Mostly Correct,,REVEALING_EXAMPLE,,physics
7 класс,"Из предложенных явлений выберите то, которое не относится к электрическим явлениям: накопление заряда на эбонитовой палочке, движение электронов в проводнике, притяжение магнита к железным предметам.","Притяжение магнита к железным предметам не относится к электрическим явлениям, так как это магнитное взаимодействие, а не электрическое.",12,4.0,10.0,1.0,Perfect,PASS,False,,OK,Logical Fallacy,physics
10 класс,При переносе положительного заряда в 2 раза меньше единичного из точки A в точку B электрическое поле совершило работу 12 Дж. Какая физическая величина характеризует работу электрического поля при переносе единичного положительного заряда из одной точки поля в другую?,Работа электрического поля при переносе единичного положительного заряда из одной точки поля в другую характеризуется **разностью потенциалов** (или напряжением).,7,4.0,80.0,4.0,Perfect,FAIL,Perfect,,REVEALING_EXAMPLE,,physics
8 класс,"Соотнесите следующие понятия: в левом списке — причины теплового расширения, в правом списке — соответствующие явления.",Причина: изменение температуры; явление: тепловое расширение твёрдых тел.,2,1.0,30.0,4.0,Deficient,REVIEW,Perfect,Missing Data,MULTICHOICE_ELIMINATION,,physics
7 класс,"Установите соответствие между определением и физической величиной:  
1) Изменение положения тела или его частей в пространстве относительно опоры или другого тела под действием сил  
2) Векторная величина, характеризующая изменение положения тела  
3) Длина траектории, пройденной телом за определённое время  

A) Перемещение  
B) Путь  
C) Скорость","1 - А, 2 - А, 3 - Б.  
Изменение положения (перемещение) — векторная величина, путь — длина траектории, скорость не упомянута в определениях.",2,3.0,30.0,3.0,Good,REVIEW,Mostly Correct,Implicit Context,MULTICHOICE_ELIMINATION,Minor Nitpick,physics
9 класс,"Почему скорость автомобиля увеличивается, если на него действует постоянная сила тяги?","Согласно второму закону Ньютона, постоянная сила тяги создаёт ускорение, что приводит к изменению скорости автомобиля.",14,3.0,10.0,3.0,Good,PASS,Mostly Correct,Implicit Context,OK,Terminological Error,physics
11 класс,"Даны три эксперимента: 1) электрический ток в проводнике влияет на ориентацию магнитной стрелки, 2) притяжение двух противоположных полюсов магнита, 3) тепловое действие тока в проволочной спирали. Определите, какой из экспериментов не относится к опыту Эрстеда.","Эксперимент 2 (притяжение противоположных полюсов магнита) не относится к опыту Эрстеда, так как он демонстрирует свойства постоянных магнитов, а не влияние электрического тока на магнитное поле. Эксперимент 1 связан с открытием Эрстеда о магнитном эффекте тока, а эксперимент 3 — это явление теплового действия тока (закон Джоуля-Ленца), которое также не относится к опыту Эрстеда. Однако среди вариантов, наиболее непосредственно не связанный с Эрстедом, — это 2, так как он касается магнитных взаимодействий, существовавших ещё до его открытия.",12,4.0,75.0,3.0,Perfect,FAIL,Mostly Correct,,REVEALING_EXAMPLE,Minor Nitpick,physics
10 класс,"Вы наблюдаете, как мяч, брошенный вертикально вверх, замедляется и останавливается на высоте, а затем падает обратно. Что могло вызвать изменение скорости мяча в процессе его движения?","Изменение скорости мяча вызвано действием силы тяжести, которая замедляет его движение вверх, преобразуя кинетическую энергию в потенциальную, и ускоряет падение вниз, возвращая потенциальную энергию в кинетическую.",15,3.0,10.0,,Good,PASS,,Implicit Context,OK,,physics
8 класс,"Если при нагревании объём тела увеличивается, то при охлаждении объём тела будет... Продолжите логическую цепочку, опираясь на принцип теплового сжатия.",При охлаждении объём тела будет уменьшаться согласно принципу теплового сжатия.,10,4.0,30.0,3.0,Perfect,REVIEW,Mostly Correct,,LEADING HINT,Terminological Error,physics
9 класс,"Движение автомобиля по дороге описывается как движение со скоростью 60 км/ч в системе отсчёта, связанной с землёй. Выразите это движение словами с точки зрения системы отсчёта, связанной с движущимся автомобилем.","В системе отсчёта, связанной с автомобилем, движение автомобиля описывается как отсутствие движения, так как автомобиль находится в покое относительно самой себя.",5,4.0,10.0,3.0,Perfect,PASS,Mostly Correct,,OK,Logical Fallacy,physics
11 класс,"Установите соответствие между физическими величинами и их обозначениями:  
В левой колонке указаны величины, в правой – их обозначения.","Соответствие физических величин и их обозначений:  
электрический заряд – $ q $, сила тока – $ I $, напряжение – $ U $, масса – $ m $, скорость – $ v $.",2,2.0,30.0,4.0,Ambiguous,REVIEW,Perfect,Missing Data,MULTICHOICE_ELIMINATION,,physics
7 класс,"Дано, что тело движется равномерно, и за каждые 2 секунды оно проходит путь 6 метров. Определи, какой путь пройдёт тело за 5 секунд, если закон движения можно описать как зависимость пути $ s $ от времени $ t $.","Тело движется равномерно со скоростью $ v = \frac{6\ \text{м}}{2\ \text{с}} = 3\ \text{м/с} $, следовательно, за 5 секунд пройдёт путь $ s = 3\ \text{м/с} \cdot 5\ \text{с} = 15\ \text{м} $.",10,4.0,30.0,,Perfect,REVIEW,,,LEADING HINT,,physics
8 класс,"Как аморфные тела отличаются по строению от кристаллических, и как это влияет на их физические свойства? Опишите соответствие между хаотичным расположением частиц в аморфных телах и нерегулярной структурой, например, в песке или стекле.","Аморфные тела имеют хаотичное расположение частиц, в отличие от кристаллических, где структура упорядочена, что делает их физические свойства изотропными и менее зависимыми от направления, например, в песке или стекле отсутствует четкая температура плавления.",13,3.0,30.0,3.0,Good,REVIEW,Mostly Correct,Implicit Context,LEADING HINT,,physics
10 класс,"Приведите пример тела, которое можно считать материальной точкой при определённых условиях, и поясните, почему.","Примером тела, которое можно считать материальной точкой, является искусственный спутник Земли при изучении его орбитального движения. Это связано с тем, что размеры спутника ничтожно малы по сравнению с радиусом его орбиты, что позволяет игнорировать его форму и внутреннюю структуру, используя модель материальной точки для применения законов Кеплера и Ньютона.",6,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,physics
11 класс,"Прямой проводник — это проводник, в котором электрический ток протекает по прямой линии без изгиба или разделения на ветви. Опишите своими словами, что означает, если в цепи используется прямой проводник.","Прямой проводник в цепи обеспечивает равномерный ток без разветвлений, что гарантирует постоянное распределение напряжения и отсутствие дополнительных сопротивлений.",5,2.0,30.0,2.0,Ambiguous,REVIEW,Mixed,Ambiguous,REVEALING_EXAMPLE,Logical Fallacy,physics
7 класс,"Механическое явление — это изменение состояния или формы тела, вызванное воздействием сил. Верно ли утверждение, что механические явления происходят только в рамках квантовой механики?","Нет, механические явления, такие как деформация пружины или движение тела, описываются классической механикой, а не только квантовой механикой.",1,2.0,10.0,4.0,Ambiguous,PASS,Perfect,Missing Data,OK,,physics
8 класс,"Определите объём газа при давлении 2 атм и температуре 300 К, если при нормальных условиях его объём составляет 5 л.","Объём газа можно определить по формуле закона объёмного соотношения газа при изменении давления и температуры: $ V_2 = \frac{P_1 V_1 T_2}{P_2 T_1} = \frac{1 \cdot 5 \cdot 300}{2 \cdot 273} \approx 2{,}75 \, \text{л} $.",18,4.0,15.0,,Perfect,PASS,,,OK,,physics
8 класс,Что такое смачивание?,"Смачивание — это явление взаимодействия жидкости с поверхностью твёрдого тела, при котором жидкость растекается по ней.",3,3.0,10.0,4.0,Good,PASS,Perfect,Implicit Context,OK,,physics
9 класс,"Объясни, как силу, действующую на тело, и перемещение тела можно сравнить с векторными величинами, указав, почему каждая из них требует указания как численного значения, так и направления.","Сила и перемещение — векторные величины, требующие указания численного значения и направления, так как их полное описание зависит от обоих параметров.",13,4.0,10.0,4.0,Perfect,PASS,Perfect,,OK,,physics
11 класс,"Магнитное поле воздействует на движущиеся заряды так, как электрическое поле воздействует на _______.","Магнитное поле воздействует на движущиеся заряды так, как электрическое поле воздействует на **электрический заряд**.",11,3.0,75.0,1.0,Good,FAIL,False,Minor Issues / Implicit Context,REVEALING_EXAMPLE,Logical Fallacy,physics
7 класс,"Рассчитайте путь, пройденный телом за 10 секунд, если его скорость изменяется по закону v(t) = 2t + 3 м/с.","Путь, пройденный телом, равен интегралу от скорости по времени: $ s = \int_0^{10} (2t + 3) \, dt = 130 \, \text{м} $. Это движение является неравномерным прямолинейным.",18,4.0,10.0,,Perfect,PASS,,,OK,,physics
9 класс,"Вы измеряли среднюю скорость движения тела в двух разных экспериментах и заметили, что во втором случае скорость оказалась вдвое меньше, чем в первом. Что могло вызвать такое изменение?",Изменение средней скорости могло быть вызвано изменением коэффициента трения скольжения или различием в действующих на тело внешних силах.,15,2.0,30.0,4.0,Ambiguous,REVIEW,Perfect,Missing Data,LEADING HINT,,physics
